"id","mszoning","lotfrontage","lotarea","lotshape","landcontour","lotconfig","landslope","neighborhood","condition1","bldgtype","housestyle","overallqual","overallcond","yearbuilt","yearremodadd","roofstyle","exterior1st","exterior2nd","masvnrtype","masvnrarea","exterqual","extercond","foundation","bsmtqual","bsmtcond","bsmtexposure","bsmtfintype1","bsmtfinsf1","bsmtfintype2","bsmtunfsf","totalbsmtsf","heating","heatingqc","electrical","x1stflrsf","x2ndflrsf","grlivarea","bsmtfullbath","fullbath","halfbath","bedroomabvgr","kitchenqual","totrmsabvgrd","functional","fireplaces","fireplacequ","garagetype","garageyrblt","garagefinish","garagecars","garagearea","wooddecksf","openporchsf","enclosedporch","fence","miscfeature","saletype","salecondition","saleprice","sale_date","total_baths"
683,"RL",21,2887,"Reg","HLS","Inside","Gtl","ClearCr","Norm","1Fam","1Story",6,5,1996,1997,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","Gd","TA","Mn","GLQ",1003,"Unf",288,1291,"GasA","Ex","SBrkr",1291,0,1291,1,1,0,2,"Gd",6,"Typ",1,"Gd","Attchd",1996,"Unf",2,431,307,0,0,NA,NA,"WD","Normal",173000,2008-11-01,1
684,"RL",90,11248,"IR1","Lvl","Corner","Gtl","CollgCr","Norm","1Fam","1Story",9,5,2002,2002,"Hip","VinylSd","VinylSd","Stone",215,"Gd","TA","PConc","Gd","TA","Av","GLQ",1059,"Unf",567,1626,"GasA","Ex","SBrkr",1668,0,1668,1,2,0,3,"Gd",7,"Typ",1,"TA","Attchd",2002,"Fin",3,702,257,45,0,NA,NA,"WD","Normal",285000,2007-07-01,2
685,"RL",58,16770,"IR2","Lvl","CulDSac","Gtl","NoRidge","Norm","1Fam","2Story",7,5,1998,1998,"Gable","VinylSd","VinylSd","BrkFace",30,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",1195,1195,"GasA","Gd","SBrkr",1195,644,1839,0,2,1,4,"TA",7,"Typ",0,NA,"Attchd",1998,"Fin",2,486,0,81,0,NA,NA,"WD","Normal",221000,2010-06-01,2.5
686,"RL",21,5062,"IR1","Lvl","CulDSac","Gtl","StoneBr","Norm","TwnhsE","2Story",7,5,1984,1984,"Gable","HdBoard","HdBoard","None",0,"Gd","TA","CBlock","Gd","TA","Mn","GLQ",828,"LwQ",180,1190,"GasA","Gd","SBrkr",1190,900,2090,1,2,0,3,"Gd",6,"Min1",1,"TA","Attchd",1984,"Fin",2,577,219,0,0,NA,NA,"WD","Normal",207500,2007-09-01,2
687,"FV",84,10207,"Reg","Lvl","Inside","Gtl","Somerst","Norm","1Fam","2Story",7,6,2007,2007,"Gable","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",874,874,"GasA","Ex","SBrkr",874,887,1761,0,3,0,3,"Gd",7,"Typ",0,NA,"Attchd",2007,"Fin",2,578,144,105,0,NA,NA,"New","Partial",227875,2007-08-01,3
688,"FV",21,5105,"IR2","Lvl","FR2","Gtl","Somerst","Norm","TwnhsE","2Story",7,5,2004,2004,"Gable","MetalSd","MetalSd","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",239,"Unf",312,551,"GasA","Ex","SBrkr",551,551,1102,0,2,1,2,"Gd",4,"Typ",0,NA,"Detchd",2004,"Unf",2,480,0,60,0,NA,NA,"WD","Normal",148800,2007-03-01,2.5
689,"RL",60,8089,"Reg","HLS","Inside","Gtl","StoneBr","Norm","1Fam","1Story",8,6,2007,2007,"Gable","MetalSd","MetalSd","BrkFace",0,"Gd","TA","PConc","Gd","TA","Av","GLQ",945,"Unf",474,1419,"GasA","Ex","SBrkr",1419,0,1419,1,2,0,2,"Gd",7,"Typ",1,"Gd","Attchd",2007,"RFn",2,567,140,0,0,NA,NA,"New","Partial",392000,2007-10-01,2
690,"RL",61,7577,"IR1","Lvl","Corner","Gtl","NridgHt","Norm","TwnhsE","1Story",6,5,2005,2006,"Gable","VinylSd","VinylSd","Stone",256,"Gd","TA","PConc","Gd","TA","Av","ALQ",20,"Unf",1342,1362,"GasA","Ex","SBrkr",1362,0,1362,0,2,0,2,"Gd",6,"Typ",1,"Gd","Attchd",2005,"RFn",2,460,192,28,0,NA,NA,"WD","Normal",194700,2007-06-01,2
691,"RM",21,4426,"Reg","Lvl","Inside","Gtl","CollgCr","Norm","TwnhsE","1Story",6,5,2004,2004,"Gable","VinylSd","VinylSd","BrkFace",147,"Gd","TA","PConc","Gd","TA","Gd","GLQ",697,"Unf",151,848,"GasA","Ex","SBrkr",848,0,848,1,1,0,1,"Gd",3,"Typ",1,"TA","Attchd",2004,"RFn",2,420,149,0,0,NA,NA,"WD","Normal",141000,2008-05-01,1
692,"RL",104,21535,"IR1","Lvl","Corner","Gtl","NoRidge","Norm","1Fam","2Story",10,6,1994,1995,"Gable","HdBoard","HdBoard","BrkFace",0,"Ex","TA","PConc","Ex","TA","Gd","GLQ",1455,"Unf",989,2444,"GasA","Ex","SBrkr",2444,1872,334,0,3,1,4,"Ex",10,"Typ",2,"Ex","Attchd",1994,"Fin",3,832,382,50,0,NA,NA,"WD","Normal",755000,2007-01-01,3.5
693,"RL",42,26178,"IR1","Lvl","Inside","Mod","Timber","Norm","1Fam","2Story",7,5,1989,1990,"Hip","MetalSd","MetalSd","BrkFace",293,"Gd","TA","PConc","Gd","TA","Gd","GLQ",965,"Unf",245,1210,"GasA","Ex","SBrkr",1238,1281,2519,1,2,1,4,"Gd",9,"Typ",2,"Gd","Attchd",1989,"RFn",2,628,320,27,0,NA,NA,"WD","Normal",335000,2006-04-01,2.5
694,"RL",60,5400,"Reg","Lvl","Corner","Sev","OldTown","Norm","1Fam","1Story",5,6,1921,1968,"Gable","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",1073,1073,"GasA","Ex","SBrkr",1073,0,1073,0,1,0,2,"TA",4,"Typ",0,NA,"Detchd",1968,"Unf",1,326,0,0,112,NA,NA,"WD","Abnorml",108480,2006-12-01,1
695,"RM",51,6120,"Reg","Lvl","Corner","Gtl","BrkSide","Norm","1Fam","1.5Fin",5,6,1936,1950,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","Fa","BrkTil","TA","TA","No","Unf",0,"Unf",927,927,"GasA","TA","SBrkr",1067,472,1539,0,1,1,3,"TA",5,"Typ",0,NA,"Detchd",1995,"Unf",2,576,112,0,0,"MnPrv",NA,"WD","Normal",141500,2009-04-01,1.5
696,"RL",54,13811,"IR1","Lvl","Inside","Gtl","Timber","Norm","1Fam","1Story",6,6,1987,1987,"Gable","HdBoard","HdBoard","BrkFace",72,"TA","TA","CBlock","Gd","Gd","No","GLQ",980,"LwQ",92,1112,"GasA","Gd","SBrkr",1137,0,1137,1,2,0,2,"Gd",5,"Typ",1,"TA","Attchd",1987,"Unf",2,551,125,0,0,NA,NA,"WD","Normal",176000,2006-07-01,2
697,"RM",50,6000,"Reg","Lvl","Inside","Gtl","BrkSide","Norm","1Fam","1Story",5,7,1921,1950,"Gable","Wd Sdng","Wd Shng","None",0,"TA","TA","CBlock","TA","TA","No","LwQ",616,"Unf",0,616,"GasA","Gd","SBrkr",616,0,616,0,1,0,2,"TA",4,"Typ",0,NA,"Detchd",1921,"Unf",1,205,0,0,129,NA,NA,"WD","Normal",89000,2006-06-01,1
698,"RL",57,6420,"IR1","Lvl","Inside","Gtl","Edwards","Norm","1Fam","1Story",5,7,1952,1952,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","Ex","Gd","Mn","LwQ",210,"ALQ",219,980,"GasA","Fa","FuseA",1148,0,1148,0,1,0,2,"TA",6,"Typ",0,NA,"Detchd",1952,"Unf",1,308,0,0,0,NA,NA,"WD","Normal",123500,2006-09-01,1
699,"RL",65,8450,"Reg","Lvl","Inside","Gtl","Sawyer","RRAe","1Fam","1Story",5,8,1965,2009,"Gable","MetalSd","MetalSd","None",0,"TA","Gd","CBlock","TA","TA","No","GLQ",553,"BLQ",224,894,"GasA","Ex","SBrkr",894,0,894,1,1,0,3,"TA",5,"Typ",1,"Gd","Detchd",1973,"Unf",1,336,416,144,0,"MnPrv",NA,"WD","Normal",138500,2010-04-01,1
700,"FV",59,4282,"IR2","Lvl","Inside","Gtl","Somerst","Norm","TwnhsE","1Story",7,5,2004,2004,"Gable","MetalSd","MetalSd","None",0,"Gd","TA","PConc","Gd","TA","Mn","GLQ",16,"Unf",1375,1391,"GasA","Ex","SBrkr",1391,0,1391,0,2,0,2,"Gd",5,"Typ",0,NA,"Attchd",2004,"RFn",2,530,156,158,0,NA,NA,"WD","Normal",196000,2008-07-01,2
701,"RL",85,14331,"Reg","Lvl","Inside","Gtl","Timber","Norm","1Fam","1Story",8,5,2002,2002,"Hip","VinylSd","VinylSd","BrkFace",630,"Gd","TA","PConc","Ex","TA","Gd","GLQ",1274,"Unf",526,1800,"GasA","Ex","SBrkr",1800,0,1800,1,2,0,3,"Gd",7,"Typ",1,"Gd","Attchd",2002,"Fin",3,765,270,78,0,NA,NA,"WD","Normal",312500,2006-05-01,2
702,"RL",80,9600,"Reg","Lvl","Inside","Gtl","NWAmes","Norm","1Fam","1Story",7,5,1969,1969,"Hip","HdBoard","HdBoard","BrkFace",168,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",1164,1164,"GasA","TA","SBrkr",1164,0,1164,0,1,1,3,"TA",6,"Typ",0,NA,"Attchd",1969,"Unf",2,528,0,0,0,NA,NA,"COD","Normal",140000,2006-07-01,1.5
703,"RL",82,12438,"IR1","Lvl","Inside","Gtl","StoneBr","Norm","1Fam","2Story",8,5,2006,2006,"Hip","VinylSd","VinylSd","BrkFace",466,"Ex","TA","PConc","Ex","Gd","No","Unf",0,"Unf",1234,1234,"GasA","Ex","SBrkr",1264,1312,2576,0,2,1,4,"Ex",10,"Typ",1,"Gd","BuiltIn",2006,"Fin",3,666,324,100,0,NA,NA,"New","Partial",361919,2006-07-01,2.5
704,"RM",76,7630,"Reg","Lvl","Inside","Gtl","OldTown","Feedr","2fmCon","2Story",5,9,1900,1996,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","Gd","BrkTil","Gd","TA","No","Unf",0,"Unf",360,360,"GasA","Gd","SBrkr",1032,780,1812,0,2,0,4,"Gd",8,"Typ",1,"Po","Detchd",1999,"Unf",2,672,344,0,40,"MnPrv",NA,"WD","Normal",140000,2010-05-01,2
705,"RL",70,8400,"Reg","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","1Story",7,5,2004,2005,"Gable","VinylSd","VinylSd","BrkFace",109,"Gd","TA","PConc","Gd","TA","Av","GLQ",712,"Unf",761,1473,"GasA","Ex","SBrkr",1484,0,1484,1,2,0,3,"Gd",7,"Typ",0,NA,"Attchd",2004,"RFn",2,606,0,35,0,NA,NA,"WD","Normal",213000,2010-05-01,2
706,"RM",70,5600,"Reg","Lvl","Inside","Gtl","IDOTRR","Norm","2fmCon","2Story",4,5,1930,1950,"Hip","VinylSd","Wd Shng","None",0,"Fa","Fa","Slab",NA,NA,NA,NA,0,NA,0,0,"GasA","Fa","SBrkr",372,720,1092,0,2,0,3,"Fa",7,"Mod",0,NA,NA,1900,NA,0,0,0,0,0,NA,"Othr","WD","Normal",55000,2010-07-01,2
707,"RL",21,1300,"IR2","Low","CulDSac","Sev","ClearCr","Norm","1Fam","1Story",7,5,1971,2002,"Gable","Plywood","Plywood","Stone",351,"TA","TA","CBlock","Gd","TA","Gd","GLQ",1219,"Unf",424,1643,"GasA","TA","SBrkr",1824,0,1824,1,2,0,2,"Gd",5,"Typ",2,"TA","Attchd",1971,"Unf",2,739,380,48,0,NA,NA,"WD","Normal",302000,2007-06-01,2
708,"RL",48,6240,"Reg","Lvl","Inside","Gtl","NridgHt","Norm","TwnhsE","1Story",8,5,2006,2006,"Hip","MetalSd","MetalSd","BrkFace",176,"Gd","TA","PConc","Gd","TA","No","GLQ",863,"Unf",461,1324,"GasA","Ex","SBrkr",1324,0,1324,1,2,0,2,"Gd",6,"Typ",1,"Gd","Attchd",2006,"Fin",2,550,192,38,0,NA,NA,"WD","Normal",254000,2009-12-01,2
709,"RL",65,9018,"IR1","Lvl","Inside","Gtl","Gilbert","Norm","1Fam","2Story",7,5,2007,2007,"Hip","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","Av","Unf",0,"Unf",728,728,"GasA","Ex","SBrkr",728,728,1456,0,2,1,3,"Gd",8,"Typ",1,"Gd","Attchd",2007,"Fin",2,400,100,24,0,NA,NA,"New","Partial",179540,2007-07-01,2.5
710,"RL",21,7162,"IR1","Lvl","Inside","Gtl","Sawyer","Norm","1Fam","1Story",5,7,1966,1966,"Gable","HdBoard","HdBoard","BrkCmn",41,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",876,876,"GasA","TA","SBrkr",904,0,904,0,1,0,3,"TA",6,"Typ",0,NA,"Attchd",1966,"Unf",1,408,0,0,0,"MnPrv",NA,"WD","Abnorml",109900,2008-12-01,1
711,"RL",56,4130,"IR1","Lvl","Inside","Gtl","BrkSide","Norm","1Fam","1Story",3,6,1935,2003,"Gable","VinylSd","VinylSd","None",0,"Gd","TA","CBlock","TA","TA","No","Unf",0,"Unf",270,270,"GasA","Gd","SBrkr",729,0,729,0,1,0,2,"TA",5,"Maj2",0,NA,NA,1900,NA,0,0,0,0,0,NA,NA,"WD","Normal",52000,2008-07-01,1
712,"C (all)",66,8712,"Reg","HLS","Inside","Mod","IDOTRR","Norm","1Fam","1.5Fin",4,7,1900,1950,"Gable","MetalSd","MetalSd","None",0,"TA","TA","Stone","TA","TA","Mn","Unf",0,"Unf",859,859,"GasA","Gd","SBrkr",859,319,1178,0,1,0,2,"TA",7,"Typ",0,NA,"Detchd",1964,"RFn",1,384,68,0,98,NA,NA,"WD","Abnorml",102776,2010-01-01,1
713,"RL",40,4671,"IR1","HLS","Inside","Gtl","StoneBr","Norm","TwnhsE","1Story",8,5,1988,1989,"Gable","HdBoard","HdBoard","None",0,"Gd","TA","PConc","Gd","TA","Mn","GLQ",767,"Unf",461,1228,"GasA","Gd","SBrkr",1228,0,1228,1,2,0,2,"Gd",5,"Typ",1,"Gd","Attchd",1988,"Fin",2,472,168,120,0,NA,NA,"WD","Normal",189000,2008-10-01,2
714,"RL",60,9873,"Reg","Lvl","Inside","Gtl","BrkSide","RRAn","2fmCon","1Story",4,5,1970,1970,"Gable","HdBoard","HdBoard","BrkFace",160,"TA","TA","CBlock","TA","TA","Av","ALQ",789,"Unf",171,960,"GasW","TA","SBrkr",960,0,960,1,1,0,3,"TA",6,"Typ",0,NA,"Detchd",1970,"Unf",2,576,0,288,0,NA,NA,"WD","Normal",129000,2006-05-01,1
715,"RL",21,13517,"IR1","Lvl","CulDSac","Gtl","Sawyer","RRAe","1Fam","2Story",6,8,1976,2005,"Gable","HdBoard","Plywood","BrkFace",289,"Gd","TA","CBlock","TA","TA","No","GLQ",533,"Unf",192,725,"GasA","Ex","SBrkr",725,754,1479,0,2,1,3,"Gd",6,"Typ",0,NA,"Attchd",1976,"RFn",2,475,0,44,0,NA,NA,"WD","Normal",130500,2010-03-01,2.5
716,"RL",78,10140,"Reg","Lvl","Inside","Gtl","NWAmes","Norm","1Fam","1Story",6,5,1974,1974,"Hip","HdBoard","HdBoard","BrkFace",174,"TA","TA","CBlock","Gd","TA","No","Unf",0,"Unf",1064,1064,"GasA","TA","SBrkr",1350,0,1350,0,2,0,3,"TA",7,"Typ",1,"TA","Attchd",1974,"RFn",2,478,0,0,0,"MnPrv",NA,"WD","Normal",165000,2009-08-01,2
717,"RM",60,10800,"Reg","Bnk","Inside","Gtl","OldTown","Norm","1Fam","2Story",7,8,1890,1998,"Gable","Wd Sdng","VinylSd","None",0,"TA","Gd","BrkTil","TA","TA","No","Unf",0,"Unf",718,718,"GasA","Ex","SBrkr",1576,978,2554,0,1,1,3,"TA",8,"Typ",0,NA,"Detchd",1996,"Unf",2,704,0,48,143,NA,NA,"WD","Normal",159500,2007-07-01,1.5
718,"RL",80,10000,"Reg","Lvl","Inside","Gtl","NWAmes","Norm","1Fam","1Story",5,6,1973,2000,"Gable","HdBoard","HdBoard","None",0,"TA","TA","CBlock","Gd","TA","No","BLQ",1084,"Unf",92,1176,"GasA","Gd","SBrkr",1178,0,1178,0,1,1,3,"Gd",5,"Typ",1,"Fa","Attchd",1973,"Unf",2,439,224,0,0,"MnPrv",NA,"WD","Normal",157000,2008-11-01,1.5
719,"RL",96,10542,"Reg","Lvl","Inside","Gtl","NoRidge","Norm","1Fam","2Story",7,5,1993,1994,"Hip","Wd Sdng","ImStucc","BrkFace",651,"Gd","TA","PConc","Gd","TA","Gd","GLQ",1173,"Unf",138,1311,"GasA","Ex","SBrkr",1325,1093,2418,1,2,1,3,"Gd",9,"Typ",1,"TA","Attchd",1993,"RFn",3,983,250,154,216,NA,NA,"WD","Normal",341000,2008-08-01,2.5
720,"RL",69,9920,"IR1","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","1Story",5,6,1969,1969,"Gable","HdBoard","Plywood","None",0,"TA","TA","CBlock","Gd","TA","Gd","ALQ",523,"Unf",448,971,"GasA","TA","SBrkr",971,0,971,0,1,1,3,"TA",5,"Typ",1,"Po","Attchd",1969,"Unf",1,300,0,0,0,NA,NA,"WD","Normal",128500,2006-05-01,1.5
721,"RL",21,6563,"IR1","Low","CulDSac","Mod","StoneBr","Norm","1Fam","1Story",8,5,1985,1985,"Gable","HdBoard","HdBoard","None",0,"Gd","TA","PConc","Gd","TA","Gd","GLQ",1148,"Unf",594,1742,"GasA","TA","SBrkr",1742,0,1742,1,2,0,2,"Gd",5,"Typ",1,"TA","Attchd",1985,"RFn",2,564,114,28,234,NA,NA,"WD","Normal",275000,2006-12-01,2
722,"RM",21,4426,"Reg","Lvl","Inside","Gtl","CollgCr","Norm","TwnhsE","1Story",6,5,2004,2004,"Gable","VinylSd","VinylSd","BrkFace",169,"Gd","TA","PConc","Gd","TA","Av","GLQ",662,"Unf",186,848,"GasA","Ex","SBrkr",848,0,848,1,1,0,1,"Gd",3,"Typ",0,NA,"Attchd",2004,"RFn",2,420,160,0,0,NA,NA,"WD","Normal",143000,2010-05-01,1
723,"RL",70,8120,"Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story",4,7,1970,1970,"Gable","MetalSd","MetalSd","None",0,"TA","Gd","CBlock","TA","TA","No","ALQ",191,"Unf",673,864,"GasA","Ex","SBrkr",864,0,864,0,1,0,3,"TA",5,"Typ",0,NA,"Detchd",1994,"Unf",2,463,0,0,0,NA,NA,"WD","Normal",124500,2009-07-01,1
724,"RL",60,8172,"Reg","Lvl","Inside","Gtl","Edwards","Norm","1Fam","1.5Fin",4,6,1954,1972,"Gable","MetalSd","MetalSd","None",0,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",941,941,"GasA","Ex","SBrkr",997,473,1470,0,2,0,4,"TA",7,"Typ",0,NA,"Detchd",1958,"Unf",1,548,0,0,0,NA,NA,"WD","Normal",135000,2008-05-01,2
725,"RL",86,13286,"IR1","Lvl","Inside","Gtl","Edwards","Norm","1Fam","1Story",9,5,2007,2008,"Hip","CemntBd","CmentBd","Stone",340,"Ex","TA","PConc","Ex","TA","No","GLQ",1234,"Unf",464,1698,"GasA","Ex","SBrkr",1698,0,1698,1,2,0,3,"Ex",8,"Typ",1,"Gd","Attchd",2007,"Fin",3,768,327,64,0,NA,NA,"WD","Normal",320000,2009-02-01,2
726,"RL",60,6960,"Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story",4,6,1970,1970,"Gable","HdBoard","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",375,"BLQ",250,864,"GasA","TA","SBrkr",864,0,864,0,1,0,3,"Gd",5,"Typ",0,NA,"Detchd",1989,"Unf",2,660,96,0,0,NA,"Shed","WD","Normal",120500,2009-11-01,1
727,"RL",21,21695,"IR1","Lvl","Corner","Gtl","Crawfor","Norm","1Fam","1Story",6,9,1988,2007,"Hip","Wd Sdng","Plywood","BrkFace",260,"Gd","Gd","CBlock","Gd","TA","No","GLQ",808,"Unf",72,880,"GasA","Ex","SBrkr",1680,0,1680,1,2,0,3,"Gd",5,"Typ",1,"Gd","Attchd",1988,"Fin",2,540,292,44,0,NA,NA,"WD","Normal",222000,2009-12-01,2
728,"RL",64,7314,"Reg","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","1Story",7,5,2007,2007,"Gable","VinylSd","VinylSd","Stone",82,"Gd","TA","PConc","Gd","TA","Av","GLQ",724,"Unf",508,1232,"GasA","Ex","SBrkr",1232,0,1232,1,2,0,2,"Gd",6,"Typ",0,NA,"Attchd",2007,"RFn",2,632,132,0,0,NA,NA,"WD","Normal",194500,2009-02-01,2
729,"RL",85,11475,"Reg","Lvl","Corner","Gtl","NAmes","Norm","Duplex","1Story",5,5,1958,1958,"Gable","VinylSd","VinylSd","BrkFace",95,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",1584,1584,"GasA","TA","SBrkr",1776,0,1776,1,2,0,4,"TA",9,"Typ",0,NA,"Detchd",1968,"Unf",3,888,0,25,0,NA,NA,"COD","Abnorml",110000,2009-07-01,2
730,"RM",52,6240,"Reg","Lvl","Inside","Gtl","IDOTRR","Norm","1Fam","1.5Fin",4,5,1925,1950,"Gable","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","No","BLQ",152,"Unf",628,780,"GasA","TA","FuseA",848,0,1208,0,1,0,2,"TA",5,"Typ",0,NA,"Detchd",1962,"Unf",2,539,0,23,112,NA,NA,"WD","Normal",103000,2009-01-01,1
731,"RL",39,5389,"IR1","Lvl","Inside","Gtl","StoneBr","Norm","TwnhsE","1Story",8,5,1995,1996,"Gable","CemntBd","CmentBd","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",1180,"Unf",415,1595,"GasA","Ex","SBrkr",1616,0,1616,1,2,0,2,"Gd",5,"Typ",1,"TA","Attchd",1995,"RFn",2,608,237,152,0,NA,NA,"WD","Normal",236500,2010-03-01,2
732,"RL",73,9590,"IR1","Lvl","Corner","Gtl","Timber","Norm","1Fam","SLvl",7,5,2003,2003,"Gable","VinylSd","VinylSd","BrkFace",442,"Gd","TA","PConc","Ex","TA","Av","GLQ",786,"Unf",82,868,"GasA","Ex","SBrkr",1146,0,1146,1,2,0,3,"Gd",6,"Typ",1,"Gd","Attchd",2003,"Fin",2,438,160,22,0,NA,NA,"WD","Normal",187500,2007-05-01,2
733,"RL",75,11404,"IR1","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","2Story",7,5,1998,1999,"Gable","VinylSd","VinylSd","BrkFace",202,"Gd","TA","PConc","Gd","TA","Av","ALQ",252,"Unf",901,1153,"GasA","Ex","SBrkr",1153,878,2031,0,2,1,3,"Gd",8,"Typ",1,"TA","Attchd",1998,"Fin",2,541,192,84,0,NA,NA,"WD","Normal",222500,2008-07-01,2.5
734,"RL",80,10000,"Reg","Lvl","Corner","Gtl","Sawyer","Feedr","1Fam","1Story",5,6,1961,1983,"Hip","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","BLQ",594,"Unf",270,864,"GasA","Ex","SBrkr",1144,0,1144,1,1,0,3,"TA",6,"Typ",1,"TA","Attchd",1961,"RFn",1,264,165,0,0,"GdWo","Shed","WD","Normal",131400,2009-03-01,1
735,"RL",21,8978,"IR1","Lvl","Corner","Gtl","Sawyer","Norm","1Fam","1Story",5,5,1968,1968,"Gable","Plywood","Plywood","None",0,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",948,948,"GasA","TA","SBrkr",948,0,948,0,1,0,3,"TA",6,"Typ",0,NA,"Attchd",1968,"Unf",1,300,147,0,0,NA,NA,"WD","Family",108000,2007-05-01,1
736,"RM",60,10800,"Reg","Lvl","Inside","Gtl","OldTown","Norm","1Fam","2.5Unf",7,7,1914,1970,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","Gd","TA","Mn","Rec",390,"Unf",490,880,"GasW","Fa","SBrkr",880,888,1768,0,1,1,2,"TA",6,"Typ",2,"TA","Detchd",1914,"Unf",2,320,0,341,0,NA,NA,"WD","Normal",163000,2006-10-01,1.5
737,"RL",60,8544,"Reg","Lvl","Inside","Gtl","NAmes","Norm","Duplex","1Story",3,4,1950,1950,"Gable","Stucco","Stone","None",0,"TA","TA","CBlock",NA,NA,NA,NA,0,NA,0,0,"GasA","Gd","FuseF",1040,0,1040,0,2,0,2,"TA",6,"Typ",0,NA,"Detchd",1949,"Unf",2,400,0,0,0,NA,NA,"WD","Normal",93500,2006-07-01,2
738,"RL",72,10463,"IR1","HLS","CulDSac","Gtl","Gilbert","Norm","1Fam","2Story",8,5,2005,2005,"Gable","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",893,893,"GasA","Ex","SBrkr",901,900,1801,0,2,1,3,"Gd",8,"Typ",1,"Gd","Attchd",2005,"Fin",3,800,0,116,0,NA,NA,"WD","Normal",239900,2006-06-01,2.5
739,"RL",60,10800,"Reg","Lvl","Inside","Gtl","Edwards","Norm","Duplex","1Story",5,5,1987,1988,"Gable","Plywood","Plywood","None",0,"TA","TA","CBlock","Gd","Gd","Gd","GLQ",1200,"Unf",0,1200,"GasA","TA","SBrkr",1200,0,1200,3,3,0,3,"TA",5,"Typ",0,NA,NA,1900,NA,0,0,120,0,0,NA,NA,"WD","Alloca",179000,2009-03-01,3
740,"RL",65,9313,"IR1","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","2Story",7,5,2004,2004,"Gable","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",864,864,"GasA","Ex","SBrkr",864,864,1728,0,2,1,3,"Gd",7,"Typ",0,NA,"Attchd",2004,"RFn",2,572,187,56,0,NA,NA,"WD","Normal",190000,2009-04-01,2.5
741,"RM",60,9600,"Reg","Lvl","Inside","Gtl","OldTown","Norm","1Fam","2Story",5,7,1910,2002,"Gable","Wd Sdng","Wd Shng","None",0,"TA","Gd","BrkTil","Fa","Fa","No","Unf",0,"Unf",264,264,"GasA","Ex","SBrkr",768,664,1432,0,2,0,2,"TA",7,"Typ",0,NA,"Detchd",1910,"Unf",2,360,270,0,112,"GdPrv",NA,"WD","Abnorml",132000,2007-05-01,2
742,"RL",65,6768,"IR1","Lvl","Inside","Gtl","Sawyer","Feedr","1Fam","1Story",6,8,1961,1996,"Hip","HdBoard","HdBoard","None",0,"TA","Gd","CBlock","TA","TA","Mn","GLQ",832,"Unf",80,912,"GasA","Gd","SBrkr",912,0,912,1,1,0,3,"Gd",5,"Typ",0,NA,"Detchd",1962,"Unf",1,288,168,0,0,"GdPrv",NA,"WD","Normal",142000,2008-05-01,1
743,"RL",65,8450,"Reg","Lvl","Inside","Gtl","SawyerW","Norm","1Fam","1Story",7,5,2000,2001,"Gable","VinylSd","VinylSd","BrkFace",108,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",1349,1349,"GasA","Ex","SBrkr",1349,0,1349,0,2,0,3,"TA",6,"Typ",0,NA,"Attchd",2000,"Unf",2,539,120,55,0,"GdPrv",NA,"WD","Normal",179000,2007-12-01,2
744,"RL",70,12886,"IR1","Lvl","Inside","Gtl","Sawyer","Norm","1Fam","SLvl",5,6,1963,1999,"Gable","HdBoard","HdBoard","None",0,"TA","TA","CBlock","Gd","TA","Av","ALQ",444,"Unf",76,520,"GasA","Ex","SBrkr",1464,0,1464,0,2,0,3,"TA",6,"Min2",1,"TA","Attchd",1997,"RFn",2,480,302,0,0,NA,NA,"WD","Normal",175000,2009-10-01,2
